"","X3201","X3202","X3203","X3204","X3205","X3206","X3207","X3208","X3209","X3210","X3211","X3212","X3213","X3214","X3215","X3216","X3217","X3218","X3219","X3220","X3221","X3222","X3223","X3224","X3225","X3226","X3227","X3228","X3229","X3230","X3231","X3232","X3233","X3234","X3251"
"3220",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"3221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3222",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,NA,1,1,0,1,0,1,0,0,0,0,0,0,1
"3223",0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,NA,NA,0,1,1,0,1,0,1,0,0,0,1
"3224",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,1
"3225",0,0,1,1,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"3226",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,NA,0,1,1,NA,1,1,0,1,NA
"3227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1
"3228",0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,NA,0,0,1,0,1,0,NA
"3229",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
"3230",1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0
"3231",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,0,1,0,1
"3232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,0,0,NA,0,1,NA
"3233",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0
"3234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"3251",0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,NA
